real1,real2,real3,real4,imag1,imag2,imag3,imag4,shape,material
0.2056678873994297,-0.3500576106300386,-0.35228898103663653,0.2173605158695457,-0.12763304731271638,0.6297007536013481,-0.05609630014937334,0.2786295800714942,1,1
0.1702224352210738,-0.4155592935684014,-0.3137643045580481,0.20248643552221512,-0.13161777907970382,0.8517753791000174,-0.12942392523331314,0.3905338557492414,1,1
0.13846169924141538,-0.4030267537750876,-0.27478662534587883,0.19196353999450763,-0.13100987082565715,1.0235051473155927,-0.19374856627990944,0.4871390556479618,1,1
0.11279326375931609,-0.33445247067379996,-0.2331754855980126,0.18456425064327617,-0.1263989776163072,1.1312473827194216,-0.24266513686029612,0.5650630563820769,1,1
0.09451356917624214,-0.2338547124781968,-0.1873186586579383,0.17947488688459,-0.1175938208950221,1.171938274306481,-0.2707424652207173,0.6226917629632244,1,1
0.0840617576432353,-0.12313727348015385,-0.13674481716319598,0.1764802560140368,-0.1035274074593648,1.15110688980247,-0.2740318168752207,0.65931891939616,1,1
0.0812993842610065,-0.01940862332668978,-0.08239111562955959,0.17572772542692736,-0.08238254789879954,1.0799879098160572,-0.25045868666802384,0.6744501993085309,1,1
0.08570581718836338,0.0661590970098807,-0.026505241296492343,0.1772403685435685,-0.051873772410771936,0.9724875362942028,-0.20005050879130346,0.6674795611891317,1,1
0.09646501755855272,0.12818523904246337,0.027770048165384864,0.18043826520173276,-0.009605805278528478,0.842665614902554,-0.1250411772938289,0.6378354409143022,1,1
0.11241163177038267,0.1660689340743101,0.07703035839071992,0.18386146939432796,0.04658485844708711,0.7029977013246608,-0.029763468343443122,0.5854635790535632,1,1
0.13186664824601663,0.1825543857238273,0.11830269276183714,0.18520304252462427,0.11834586985673641,0.563474982382838,0.07968810613555523,0.5114360521240632,1,1
0.15242555371729677,0.18227283202273536,0.1496399557217023,0.18166764088259085,0.206587444959537,0.4314027465049399,0.1960226625968957,0.41845771458337655,1,1
0.17078216832393778,0.17049413583454065,0.17047772149056514,0.17051431173344994,0.3112604212847575,0.311634686919977,0.3115059670358402,0.3110753510121024,1,1
0.18267173135432682,0.15224219392937588,0.18169885925127627,0.14969619188487746,0.43110498818443205,0.20700799221141802,0.4187937349642817,0.19549150025550183,1,1
0.18306258099668363,0.1317698869242374,0.18534954053143515,0.11833271203338622,0.5632833813967892,0.11878746292139161,0.5116857678256932,0.07906143758458732,1,1
0.166663917971751,0.11238237145283847,0.18415750059337643,0.07700324390810045,0.7029369473157143,0.04701991727430155,0.5856504412249209,-0.03047933888539962,1,1
0.12883670768366554,0.09648238951021373,0.18091062908976152,0.027664711254239284,0.8427556428530878,-0.009194518354863668,0.6379890614597059,-0.12583763444314347,1,1
0.06681726588354256,0.08575222548368426,0.17789327425893386,-0.026693337526523565,0.9727326811197663,-0.05149903217859233,0.6676349754421192,-0.20091656184620535,1,1
-0.01879291603579194,0.0813634938877497,0.17654653352980496,-0.08265427559851245,1.0803771314330075,-0.08205194863101965,0.6746446985605917,-0.2513781188439047,1,1
-0.12261751373509742,0.08414170742533093,0.1774305881496602,-0.13706064788255717,1.1516102894716138,-0.10324359627822269,0.6595858335430371,-0.2749863655304933,1,1
-0.23347908037309306,0.09461521965186773,0.1805062283198521,-0.18765379716804578,1.1725034697151047,-0.11735390281549556,0.6230519126562141,-0.27170609392053147,1,1
